id;target;modelo;mae_test;rmse_test;r2_test;mae_validate;rmse_validate;r2_validate
PROD3;ce;Autoregresión;0.018529761;0.021536007;0.989498071;0.054216795;0.063350232;0.901086653
PROD3;re;Autoregresión;0.0102199;0.011329155;0.992575747;0.033676547;0.041289207;0.911767846
PROD3;peo;Autoregresión;1.80411E-16;2.48706E-16;1;3.43362E-16;4.50909E-16;1
PROD4;po;Autoregresión;7.11727E-13;7.1188E-13;1;1.42345E-12;1.42376E-12;1
PROD4;ce;Autoregresión;0.017545788;0.020122205;0.990022993;0.048795742;0.057301154;0.91123506
PROD4;re;Autoregresión;0.010294604;0.011400252;0.993267855;0.032735832;0.039965658;0.924261665
PROD4;peo;Autoregresión;1.80411E-16;2.48706E-16;1;3.43362E-16;4.50909E-16;1
PROD5;po;Autoregresión;7.11727E-13;7.1188E-13;1;1.42345E-12;1.42376E-12;1
PROD5;ce;Autoregresión;0.016795979;0.019527292;0.989978709;0.050495729;0.059494848;0.894344064
PROD5;re;Autoregresión;0.010840139;0.012025653;0.993118872;0.036226323;0.0432811;0.916891238
PROD5;peo;Autoregresión;1.80411E-16;2.48706E-16;1;3.43362E-16;4.50909E-16;1
PROD6;po;Autoregresión;1.0741E-12;1.1172E-12;1;2.14821E-12;2.23439E-12;1
PROD6;ce;Autoregresión;0.016815464;0.019224399;0.989859214;0.050132024;0.057978757;0.895997789
PROD6;re;Autoregresión;0.011285632;0.012349915;0.993152385;0.037796564;0.044894075;0.915984321
PROD6;peo;Autoregresión;1.53812E-16;2.27859E-16;1;3.04119E-16;4.5503E-16;1
PROD7;po;Autoregresión;6.30015E-13;6.35952E-13;1;1.26003E-12;1.2719E-12;1
PROD7;ce;Autoregresión;0.015418132;0.017799239;0.989521639;0.044513089;0.053204271;0.897169167
PROD7;re;Autoregresión;0.012023483;0.013295286;0.992586755;0.039099185;0.049301038;0.908822841
PROD7;peo;Autoregresión;2.08167E-16;2.47217E-16;1;4.21642E-16;4.9284E-16;1
PROD8;po;Autoregresión;6.86858E-14;7.40693E-14;1;1.37372E-13;1.48139E-13;1
PROD8;ce;Autoregresión;0.014547209;0.016905699;0.989195097;0.042264703;0.049433888;0.899440054
PROD8;re;Autoregresión;0.013189473;0.01463766;0.99233267;0.043156832;0.052999039;0.910062413
PROD8;peo;Autoregresión;2.59052E-16;3.40407E-16;1;5.18052E-16;6.79895E-16;1
PROD9;po;Autoregresión;4.99748E-13;5.01289E-13;1;9.99497E-13;1.00258E-12;1
PROD9;ce;Autoregresión;0.013549172;0.015524279;0.989297226;0.037379432;0.043953618;0.905877891
PROD9;re;Autoregresión;0.013548847;0.015068138;0.992695808;0.042734673;0.052212314;0.919712552
PROD9;peo;Autoregresión;2.03541E-16;2.39501E-16;1;3.93393E-16;4.56908E-16;1
